id,grupo,tempo_sono_horas
1,Usa App,6.8
2,Usa App,7.1
3,Usa App,6.5
4,Usa App,7.0
5,Usa App,6.9
6,Usa App,7.3
7,Usa App,6.7
8,Usa App,7.2
9,Usa App,6.6
10,Usa App,7.0
11,Usa App,6.8
12,Usa App,7.1
13,Usa App,6.9
14,Usa App,7.4
15,Usa App,6.5
16,Usa App,7.2
17,Usa App,6.7
18,Usa App,7.0
19,Usa App,6.8
20,Usa App,7.1
21,Usa App,6.6
22,Usa App,7.3
23,Usa App,6.9
24,Usa App,7.0
25,Usa App,6.7
26,Usa App,7.2
27,Usa App,6.8
28,Usa App,7.1
29,Usa App,6.5
30,Usa App,7.0
31,Não usa App,6.7
32,Não usa App,7.0
33,Não usa App,6.6
34,Não usa App,7.1
35,Não usa App,6.8
36,Não usa App,7.2
37,Não usa App,6.5
38,Não usa App,7.0
39,Não usa App,6.9
40,Não usa App,7.1
41,Não usa App,6.7
42,Não usa App,7.3
43,Não usa App,6.6
44,Não usa App,7.0
45,Não usa App,6.8
46,Não usa App,7.2
47,Não usa App,6.5
48,Não usa App,7.1
49,Não usa App,6.9
50,Não usa App,7.0
51,Não usa App,6.7
52,Não usa App,7.3
53,Não usa App,6.6
54,Não usa App,7.1
55,Não usa App,6.8
56,Não usa App,7.2
57,Não usa App,6.5
58,Não usa App,7.0
59,Não usa App,6.9
60,Não usa App,7.1
