Escore_Depressao,Escore_Ruminancia
8,15
10,18
12,20
14,25
15,27
16,28
18,30
19,32
20,34
22,36
23,38
24,40
25,42
26,43
27,45
28,47
29,48
30,50
9,14
11,17
13,22
15,26
17,29
18,31
19,33
20,35
22,37
23,39
24,41
26,44
27,46
28,47
29,49
30,50
7,13
9,16
11,19
13,23
14,24
16,27
17,28
19,31
20,32
21,35
23,36
24,38
25,40
26,42
27,43
28,45
29,47
30,49
6,12
8,14
10,18
12,21
14,25
15,27
16,29
18,31
19,33
21,35
22,37
23,39
25,41
26,43
28,46
29,48
30,50
7,13
9,17
11,20
13,24
15,26
17,29
19,32
21,36
23,38
25,41
