Participante,Nível_Estresse,Horas_Sono
Profissional_1,Baixo,8.96
Profissional_2,Baixo,4.69
Profissional_3,Baixo,4.29
Profissional_4,Baixo,7.01
Profissional_5,Baixo,9.36
Profissional_6,Baixo,5.75
Profissional_7,Baixo,22.75
Profissional_8,Baixo,8.77
Profissional_9,Baixo,6.28
Profissional_10,Baixo,5.49
Profissional_11,Baixo,5.1
Profissional_12,Baixo,9.53
Profissional_13,Baixo,5.89
Profissional_14,Baixo,3.31
Profissional_15,Baixo,5.54
Profissional_16,Baixo,9.7
Profissional_17,Baixo,4.01
Profissional_18,Baixo,3.96
Profissional_19,Baixo,6.79
Profissional_20,Baixo,6.79
Profissional_21,Baixo,8.03
Profissional_22,Baixo,12.47
Profissional_23,Baixo,9.45
Profissional_24,Baixo,7.72
Profissional_25,Baixo,9.41
Profissional_26,Baixo,4.95
Profissional_27,Baixo,5.25
Profissional_28,Baixo,4.3
Profissional_29,Baixo,4.74
Profissional_30,Baixo,7.98
Profissional_31,Baixo,3.48
Profissional_32,Baixo,5.84
Profissional_33,Baixo,5.82
Profissional_34,Baixo,6.4
Profissional_35,Baixo,5.77
Profissional_36,Moderado,4.0
Profissional_37,Moderado,4.72
Profissional_38,Moderado,11.45
Profissional_39,Moderado,14.04
Profissional_40,Moderado,5.29
Profissional_41,Moderado,6.41
Profissional_42,Moderado,2.99
Profissional_43,Moderado,4.03
Profissional_44,Moderado,4.64
Profissional_45,Moderado,10.55
Profissional_46,Moderado,3.65
Profissional_47,Moderado,5.14
Profissional_48,Moderado,19.45
Profissional_49,Moderado,5.43
Profissional_50,Moderado,6.3
Profissional_51,Moderado,3.01
Profissional_52,Moderado,9.5
Profissional_53,Moderado,6.2
Profissional_54,Moderado,5.65
Profissional_55,Moderado,4.18
Profissional_56,Moderado,3.95
Profissional_57,Moderado,4.66
Profissional_58,Moderado,7.07
Profissional_59,Moderado,10.83
Profissional_60,Moderado,5.36
Profissional_61,Moderado,6.93
Profissional_62,Moderado,6.03
Profissional_63,Moderado,6.42
Profissional_64,Moderado,6.99
Profissional_65,Moderado,9.89
Profissional_66,Moderado,2.85
Profissional_67,Moderado,8.27
Profissional_68,Moderado,3.62
Profissional_69,Moderado,3.36
Profissional_70,Moderado,5.9
Profissional_71,Alto,2.3
Profissional_72,Alto,8.5
Profissional_73,Alto,4.96
Profissional_74,Alto,5.86
Profissional_75,Alto,2.05
Profissional_76,Alto,4.71
Profissional_77,Alto,4.44
Profissional_78,Alto,2.52
Profissional_79,Alto,2.5
Profissional_80,Alto,5.57
Profissional_81,Alto,3.15
Profissional_82,Alto,5.53
Profissional_83,Alto,4.42
Profissional_84,Alto,3.48
Profissional_85,Alto,9.78
Profissional_86,Alto,7.53
Profissional_87,Alto,3.33
Profissional_88,Alto,2.13
Profissional_89,Alto,3.09
Profissional_90,Alto,3.52
Profissional_91,Alto,5.66
Profissional_92,Alto,18.12
Profissional_93,Alto,3.32
Profissional_94,Alto,6.31
Profissional_95,Alto,4.7
Profissional_96,Alto,5.53
Profissional_97,Alto,2.49
Profissional_98,Alto,3.53
Profissional_99,Alto,2.83
Profissional_100,Alto,3.26
Profissional_101,Alto,4.16
Profissional_102,Alto,5.3
Profissional_103,Alto,2.34
Profissional_104,Alto,2.42
Profissional_105,Alto,3.17
