id,consumo_ultraprocessados,excesso_peso
1,Alto,Não
2,Moderado,Sim
3,Baixo,Sim
4,Moderado,Sim
5,Baixo,Não
6,Baixo,Não
7,Moderado,Sim
8,Moderado,Sim
9,Baixo,Sim
10,Moderado,Sim
11,Baixo,Não
12,Alto,Sim
13,Baixo,Não
14,Alto,Sim
15,Baixo,Sim
16,Moderado,Sim
17,Alto,Não
18,Baixo,Sim
19,Alto,Sim
20,Moderado,Não
21,Alto,Sim
22,Alto,Sim
23,Alto,Sim
24,Baixo,Não
25,Alto,Sim
26,Baixo,Sim
27,Moderado,Não
28,Baixo,Sim
29,Moderado,Sim
30,Baixo,Não
31,Baixo,Não
32,Alto,Sim
33,Alto,Sim
34,Baixo,Não
35,Alto,Sim
36,Moderado,Não
37,Moderado,Não
38,Baixo,Sim
39,Moderado,Não
40,Alto,Sim
41,Alto,Não
42,Moderado,Não
43,Alto,Sim
44,Moderado,Não
45,Moderado,Não
46,Moderado,Não
47,Moderado,Não
48,Moderado,Não
49,Baixo,Não
50,Alto,Sim
51,Moderado,Não
52,Alto,Sim
53,Baixo,Não
54,Moderado,Sim
55,Moderado,Não
56,Moderado,Não
57,Baixo,Não
58,Baixo,Sim
59,Baixo,Não
60,Baixo,Não
61,Alto,Sim
62,Moderado,Não
63,Alto,Sim
64,Alto,Sim
65,Alto,Sim
66,Baixo,Não
67,Alto,Sim
68,Alto,Sim
69,Alto,Sim
70,Baixo,Não
71,Baixo,Não
72,Moderado,Sim
73,Alto,Não
74,Moderado,Sim
75,Moderado,Não
76,Alto,Sim
77,Moderado,Sim
78,Alto,Sim
79,Moderado,Não
80,Baixo,Não
81,Alto,Não
82,Moderado,Sim
83,Moderado,Sim
84,Alto,Não
85,Baixo,Não
86,Alto,Não
87,Alto,Não
88,Baixo,Não
89,Baixo,Não
90,Moderado,Sim
91,Alto,Sim
92,Alto,Sim
93,Alto,Sim
94,Moderado,Não
95,Baixo,Não
96,Alto,Não
97,Moderado,Sim
98,Moderado,Sim
99,Moderado,Sim
100,Baixo,Não
